"DayMoYr","Jdays","WeekSubWeek","ti","tf","Events","Q.Ave","T.Hrs","Vol","Q.Max","Cluster","EventLabel","Volday.L","SmpHrs","ConcSmOut_ugL.obs","ConcSmOut_ugL.sd","SmOut_ug.obs","SmOut_ug.sd","delta.obs","delta.sd"
2016-04-12,195,"W2-3x",2016-04-08 00:38:00,"2016-04-14 13:50:00","2-3",14.6057392958147,157.2,346.156021310809,8.06581310501155,1,NA,146708.007301286,24,NA,NA,NA,NA,NA,NA
2016-04-13,196,"W2-3x",2016-04-08 00:38:00,"2016-04-14 13:50:00","2-3",14.6057392958147,157.2,346.156021310809,8.06581310501155,1,NA,134128.652043624,24,NA,NA,NA,NA,NA,NA
2016-04-14,197,"W2-3x",2016-04-08 00:38:00,"2016-04-14 13:50:00","2-3",14.6057392958147,157.2,346.156021310809,8.06581310501155,1,NA,59836.1737905593,12.8666666666667,NA,NA,NA,NA,NA,NA
2016-04-14,197,"W3-1",2016-04-14 13:52:00,"2016-04-16 18:30:00","3-1",9.87330254521857,52.6333333333333,519.664823963337,32.594246195365,1,NA,64437.5082665448,10.1333333333333,8.8357358,0.0273388151413616,569352.798653506,1761.64512666903,-30.9666666666667,0.115470053837927
2016-04-15,198,"W3-1",2016-04-14 13:52:00,"2016-04-16 18:30:00","3-1",9.87330254521857,52.6333333333333,519.664823963337,32.594246195365,1,NA,137350.595657917,24,8.8357358,0.0180419324500924,1213593.57520598,2478.0701688401,-30.9666666666667,0.115470053837927
2016-04-16,199,"W3-2",2016-04-16 18:32:00,"2016-04-17 09:00:00","4-1",48.7382907874278,14.4666666666667,705.080606724789,79.9810226532562,1,NA,138666.774983866,5.46666666666667,10.73573241,0.0740564540685376,1488689.39038447,10269.1696524249,-30.8,0.173205080756888
2016-04-16,199,"W3-1",2016-04-14 13:52:00,"2016-04-16 18:30:00","3-1",9.87330254521857,52.6333333333333,519.664823963337,32.594246195365,1,NA,317876.720038876,18.5333333333333,8.8357358,0.0229074171843943,2808674.71523407,7281.73463913744,-30.9666666666667,0.115470053837927
2016-04-17,200,"W3-2.1x",2016-04-17 09:02:00,"2016-04-18 20:28:00","4-2",50.4075455687542,35.4333333333333,1786.10736465286,83.6282317414948,1,NA,1029899.54720625,14.9666666666667,NA,NA,NA,NA,NA,NA
2016-04-17,200,"W3-2",2016-04-16 18:32:00,"2016-04-17 09:00:00","4-1",48.7382907874278,14.4666666666667,705.080606724789,79.9810226532562,1,NA,566413.831740923,9.03333333333333,10.73573241,0.0580495449354961,6080867.33089332,32880.0651777313,-30.8,0.173205080756888
2016-04-18,201,"W3-2.1x",2016-04-17 09:02:00,"2016-04-18 20:28:00","4-2",50.4075455687542,35.4333333333333,1786.10736465286,83.6282317414948,1,NA,756207.817446605,20.5,NA,NA,NA,NA,NA,NA
2016-04-18,201,"W3-3",2016-04-18 20:30:00,"2016-04-21 09:10:00","4-3",9.94338332272586,60.6666666666667,603.231921578702,18.8789041643816,1,NA,58726.5876232142,3.5,0.871835608,0.00183737256334633,51199.9302262502,107.902620837848,-31.4333333333333,0.493288286231624
2016-04-19,202,"W3-3",2016-04-18 20:30:00,"2016-04-21 09:10:00","4-3",9.94338332272586,60.6666666666667,603.231921578702,18.8789041643816,1,NA,287224.964313408,24,0.871835608,0.000707204084563669,250412.951394958,203.126667951096,-31.4333333333333,0.493288286231624
2016-04-20,203,"W3-3",2016-04-18 20:30:00,"2016-04-21 09:10:00","4-3",9.94338332272586,60.6666666666667,603.231921578702,18.8789041643816,1,NA,194597.918810897,24,0.871835608,0.000701442449636166,169657.394862033,136.499240864816,-31.4333333333333,0.493288286231624
2016-04-21,204,"W3-3",2016-04-18 20:30:00,"2016-04-21 09:10:00","4-3",9.94338332272586,60.6666666666667,603.231921578702,18.8789041643816,1,NA,62682.4508311827,9.2,0.871835608,0.00113245862701622,54648.7926313342,70.9852822062926,-31.4333333333333,0.493288286231624
2016-04-21,204,"W4-1",2016-04-21 09:12:00,"2016-04-23 06:36:00","4-4",7.09895752109559,45.4,322.29267145774,8.26383188924855,1,NA,101116.618686511,14.8,0.501218996,0.000441342207238799,50681.5700969678,44.6270316796287,NA,NA
2016-04-22,205,"W4-1",2016-04-21 09:12:00,"2016-04-23 06:36:00","4-4",7.09895752109559,45.4,322.29267145774,8.26383188924855,1,NA,174209.695470694,24,0.501218996,0.000347124405200006,87317.2086572868,60.4724369203387,NA,NA
2016-04-23,206,"W4-1",2016-04-21 09:12:00,"2016-04-23 06:36:00","4-4",7.09895752109559,45.4,322.29267145774,8.26383188924855,1,NA,46966.3573005353,6.63333333333333,0.501218996,0.000659418888875712,23540.4304519516,30.9705031456587,NA,NA
2016-04-23,206,"W4-2x",2016-04-23 06:38:00,"2016-04-26 11:48:00","4-5",6.30793958403137,77.1666666666667,486.762671234421,7.98674227467689,1,NA,107715.982645272,17.3666666666667,NA,NA,NA,NA,NA,NA
