"DayMoYr","SubWeeks","Volday.L","SmpHrs","SmOut_ug.obs","SmOut_ug.sd","OxOut_ug.obs","OxOut_ug.sd","EsOut_ug.obs","EsOut_ug.sd","ConcSmOut_ugL.obs","ConcSmOut_ugL.sd","ConcOxOut_ugL.obs","ConcOxOut_ugL.sd","ConcEsOut_ugL.obs","ConcEsOut_ugL.sd","delta.obs","delta.sd"
2016-04-15,"W3-1",137350.595657917,24,1213593.57520598,2478.0701688401,6191860.99767585,13993.4179414878,3302897.24390506,1720.42887098889,8.8357358,0.0180419324500924,45.0807,0.101881013871535,24.0472,0.0125258202394241,-30.9666666666667,0.115470053837927
2016-04-16,"W3-1",317876.720038876,18.5333333333333,2808674.71523407,7281.73463913744,14330105.0530566,41119.2376332722,7644045.06211886,5055.4284788133,8.8357358,0.0229074171843943,45.0807,0.129355926499567,24.0472,0.0159037392804199,-30.9666666666667,0.115470053837927
2016-04-16,"W3-2",138666.774983866,5.46666666666667,1488689.39038447,10269.1696524249,27823446.8004802,74016.61934215,20916912.3388913,24277.757653926,10.73573241,0.0740564540685376,200.6497,0.533773280230697,150.843,0.175079846320438,-30.8,0.173205080756888
2016-04-17,"W3-2",566413.831740923,9.03333333333333,6080867.33089332,32880.0651777313,113650765.414667,236988.125678744,85439561.6212961,77733.0866124852,10.73573241,0.0580495449354961,200.6497,0.418401021299816,150.843,0.13723726762386,-30.8,0.173205080756888
2016-04-17,"W3-2.1x",1029899.54720625,14.9666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-04-18,"W3-2.1x",756207.817446605,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-04-18,"W3-3",58726.5876232142,3.5,51199.9302262502,107.902620837848,690278.183582022,4254.11822154325,1061999.86526068,4719.59176143418,0.871835608,0.00183737256334633,11.7541,0.0724393906357608,18.0838,0.0803655031297707,-31.4333333333333,0.493288286231624
2016-04-19,"W3-3",287224.964313408,24,250412.951394958,203.126667951096,3376070.95303623,8008.37693007194,5194118.80965081,8884.63080086098,0.871835608,0.000707204084563669,11.7541,0.0278818972063081,18.0838,0.0309326552519524,-31.4333333333333,0.493288286231624
2016-04-20,"W3-3",194597.918810897,24,169657.394862033,136.499240864816,2287323.39749517,5381.55517707454,3519069.84419251,5970.38966825202,0.871835608,0.000701442449636166,11.7541,0.0276547416845918,18.0838,0.0306806450178627,-31.4333333333333,0.493288286231624
2016-04-21,"W3-3",62682.4508311827,9.2,54648.7926313342,70.9852822062926,736775.795314804,2798.63250911192,1133536.90434094,3104.85093394864,0.871835608,0.00113245862701622,11.7541,0.0446477837417244,18.0838,0.0495330174997572,-31.4333333333333,0.493288286231624
2016-04-21,"W4-1",101116.618686511,14.8,50681.5700969678,44.6270316796287,81176.421481531,1177.88462517169,510386.132820164,2252.00779886006,0.501218996,0.000441342207238799,0.8028,0.0116487738659799,5.0475,0.0222713914697039,NA,NA
2016-04-22,"W4-1",174209.695470694,24,87317.2086572868,60.4724369203387,139855.543523873,1596.10780762832,879323.437888326,3051.61231735789,0.501218996,0.000347124405200006,0.8028,0.00916199183584947,5.0475,0.0175168914055719,NA,NA
2016-04-23,"W4-1",46966.3573005353,6.63333333333333,23540.4304519516,30.9705031456587,37704.5916408698,817.434593252477,237062.688474452,1562.86026638157,0.501218996,0.000659418888875712,0.8028,0.0174046836977744,5.0475,0.033276165242727,NA,NA
2016-04-23,"W4-2x",107715.982645272,17.3666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-04-24,"W4-2x",133954.045864961,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-04-25,"W4-2x",157293.437424433,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-04-26,"W4-2x",87799.2052997549,11.8333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-04-26,"W5-1",87924.8537857907,12.1666666666667,315385.557125192,355.324285026105,110081.91693981,5006.77939406194,338677.744297487,2160.04004766356,3.586989839,0.00404122690828436,1.252,0.0569438466882168,3.8519,0.0245668881397973,-31.4333333333333,0.208166599946614
2016-04-27,"W5-1",145227.674660664,24,520930.193349401,417.926502798684,181825.048675152,5888.89048856059,559402.480025413,2540.60310839382,3.586989839,0.0028777332128687,1.252,0.0405493684473048,3.8519,0.0174939322985797,-31.4333333333333,0.208166599946614
2016-04-28,"W5-1",149036.94856295,24,534594.020130869,429.179363415552,186594.259600814,6047.45153556768,574075.422169628,2609.00999924684,3.586989839,0.00287968431690129,1.252,0.0405768609319947,3.8519,0.0175057931902359,-31.4333333333333,0.208166599946614
2016-04-29,"W5-1",157317.240811019,24,564295.344288642,453.176874458357,196961.185495396,6385.5940404884,605970.279879965,2754.89247078379,3.586989839,0.00288065613229732,1.252,0.0405905545226237,3.8519,0.0175117009209001,-31.4333333333333,0.208166599946614
2016-04-30,"W5-1",160596.734392738,24,576058.854443332,462.810617193949,201067.111459707,6521.34053080417,618602.561207386,2813.45663595544,3.586989839,0.00288181835666814,1.252,0.0406069311151515,3.8519,0.0175187661604324,-31.4333333333333,0.208166599946614
2016-05-01,"W5-1",228477.203600562,10.7666666666667,819545.407758349,1013.78019844633,286053.458907903,14284.9054274919,880071.340549003,6162.8374993043,3.586989839,0.00443711749999654,1.252,0.0625222350517984,3.8519,0.0269735334737314,-31.4333333333333,0.208166599946614
2016-05-01,"W5-2",264891.495075864,13.2333333333333,215365.84849429,278.5026087425,1737370.33790358,6779.26201535619,5677604.83800754,12195.5760197751,0.813034214,0.00105138373228154,6.5588,0.025592599767745,21.4337,0.0460398927352587,-30.65,0.512835256198324
2016-05-02,"W5-2",500506.259735028,24,406928.713485748,359.154089401611,3282720.4563501,8742.46631632585,10727701.0192827,15727.2889467266,0.813034214,0.000717581613448252,6.5588,0.0174672467052743,21.4337,0.0314227617353932,-30.65,0.512835256198324
