"WeekSubWeek","ti","tf","iflux","fflux","changeflux","maxQ","minQ","dryHrsIni","dryHrsMax","dryHrsAve","noEventHrsIni","noEventHrsMax","noEventHrsAve","Duration.Hrs","chExtreme","Event","Markers","TimeDiff","AveDischarge.m3.h","Volume.m3","Sampled.Hrs","Sampled","CumRain.mm","RainInt.mmhr","Conc.mug.L","Conc.SD","Vol.SPE.L","Conc.in500uL","OXA_mean","OXA_SD","ESA_mean","ESA_SD","N.x","diss.d13C","SD.d13C","N_d13C.diss","MES.mg.L","MES.sd","MO.mg.L","Conc.Solids.mug.gMES","Conc.Solids.ug.gMES.SD","N.y","filt.d13C","filt.SD.d13C","DD13C.diss","DD13C.filt","ExpMES.Kg","SMoutApprox","TPoutApprox","DissSmeto.mg","DissSmeto.mg.SD","DissSmeto.g","DissSmeto.g.SD","DissOXA.mg","DissOXA.mg.SD","DissOXA.g","DissOXA.g.SD","DissESA.mg","DissESA.mg.SD","DissESA.g","DissESA.g.SD","FiltSmeto.mg","FiltSmeto.mg.SD","FiltSmeto.g","FiltSmeto.g.SD","TotSMout.mg","TotSMout.mg.SD","TotSMout.g","TotSMout.g.SD","FracDiss","FracFilt","MELsm.g","MELsm.g.SD","CumOutDiss.g","CumOutFilt.g","CumOutSmeto.g","CumOutMELsm.g"
"W3-2",2016-04-16 18:32:00,2016-04-17 09:00:00,23.7524584713381,79.9810226532562,56.2285641819181,79.9810226532562,19.8333796266195,0.316666666666667,1.38333333333333,0.249272030651341,0,0,0,14.4666666666667,56.2285641819181,4,67.2779591935531,"19",48.7382907874278,705.080606724789,14.4666666666667,"Sampled",12.4,0.857142857142857,10.73573241,0.9381,2.455,26356.22308,200.6497,6.7615,150.843,2.2178,3,-30.8,0.173205080756888,3,52.5,NA,6e-04,0.167069013356504,0.00940750353510219,NA,NA,NA,1.5,NA,37.0167318530514,FALSE,FALSE,7569.55672127778,661.436117168525,7.56955672127778,0.661436117168525,141474.212215147,4767.40252236966,141.474212215147,4.76740252236966,106356.473960187,1563.72776959424,106.356473960187,1.56372776959424,6.18434886837158,0.348235035765511,0.00618434886837158,0.000348235035765511,7575.74107014615,467.706028592007,7.57574107014615,0.467706028592007,0.999183664170791,0.00081633582920915,243.027290812769,2.91535066848416,29.7376591070647,0.0400167537949536,29.7776758608596,586.44480693043
"W3-2.1x",2016-04-17 09:02:00,2016-04-18 20:28:00,80.051818122605,18.6875377568462,-61.3642803657588,83.6282317414948,18.4765728616059,0.0833333333333333,5.26666666666667,2.13847117794486,0,0,0,35.4333333333333,-61.5752452609991,NA,NA,NA,50.4075455687542,1786.10736465286,35.4333333333333,"Not Sampled",1.2,0.0338664158043274,5.803784009,0.47845,NA,NA,106.2019,3.75135,84.4634,1.52005,NA,NA,NA,NA,NA,NA,NA,0.0991528778545592,0.00497688161091986,NA,NA,NA,NA,NA,59.9805605350615,TRUE,TRUE,10366.1813613294,854.563068618161,10.3661813613294,0.854563068618161,189687.995730127,6700.31386239051,189.687995730127,6.70031386239051,150860.70078362,2714.97249964058,150.86070078362,2.71497249964058,5.94724519238094,0.298516148739613,0.00594724519238094,0.000298516148739613,10372.1286065218,604.267377639228,10.3721286065218,0.604267377639228,0.999426612856628,0.00057338714337204,333.186078502915,4.17084054809408,40.1038404683941,0.0459639989873345,40.1498044673814,919.630885433345
"W3-3",2016-04-18 20:30:00,2016-04-21 09:10:00,18.669630205477,6.44987591658121,-12.2197542888958,18.8789041643816,6.30149765799847,4.8,35.1333333333333,19.9666666666667,0,30.0666666666667,14.9012538898041,60.6666666666667,-12.3681325474785,NA,NA,NA,9.94338332272586,603.231921578702,60.6666666666667,"Sampled",0,0,0.871835608,0.0188,1.275,1111.5904,11.7541,0.7412,18.0838,0.8223,3,-31.4333333333333,0.493288286231624,3,137.5,NA,0.0016,0.0312367423526143,0.00054625968673754,NA,NA,NA,0.866666666666664,NA,82.9443892170715,FALSE,FALSE,525.919069114576,11.3407601256796,0.525919069114576,0.0113407601256796,7090.44832942822,447.115500274134,7.09044832942822,0.447115500274134,10908.7254234449,496.037609114167,10.9087254234449,0.496037609114167,2.59091251556862,0.0453091760703541,0.00259091251556862,4.53091760703541e-05,528.509981630145,8.01919238918859,0.528509981630145,0.00801919238918859,0.995097703722497,0.00490229627750297,17.1393493913872,0.360274315630885,40.6297595375087,0.0485549115029031,40.6783144490116,936.770234824732
"W4-1",2016-04-21 09:12:00,2016-04-23 06:36:00,6.38330073326497,7.26633998353306,0.88303925026809,8.26383188924855,6.0459800710562,35.15,57.85,46.5,30.0833333333333,52.7833333333333,41.4333333333333,45.4,1.88053115598358,NA,NA,NA,7.09895752109559,322.29267145774,45.4,"Sampled",0,0,0.501218996,0.00929,0.47,235.572928,0.8028,0.2452,5.0475,0.4688,NA,NA,NA,NA,242.5,NA,0.002,0.628218074611827,0.0167433481060712,NA,NA,NA,NA,NA,78.155972828502,FALSE,FALSE,161.539209206206,2.9940989178424,0.161539209206206,0.00299409891784241,258.736556646274,79.0261630414379,0.258736556646274,0.0790261630414378,1626.77225918294,151.090804379389,1.62677225918294,0.151090804379389,49.0989947697358,1.30859265963625,0.0490989947697358,0.00130859265963625,210.638203975942,2.31052408326325,0.210638203975942,0.00231052408326325,0.766903658296747,0.233096341703253,1.87634183267764,0.0883698069238406,40.7912987467149,0.0976539062726389,40.8889526529875,938.64657665741
"W4-2x",2016-04-23 06:38:00,2016-04-26 11:48:00,7.29887198682645,7.76030572537674,0.46143373855029,7.98674227467689,4.82164374089334,57.8666666666667,58.8166666666667,5.17696459412781,52.8,91.3833333333333,72.0916666666667,77.1666666666667,0.68787028785044,NA,NA,NA,6.30793958403137,486.762671234421,77.1666666666667,"Not Sampled",6.8,0.0881209503239741,2.0441044175,0.04322,NA,NA,1.0274,0.66615,4.4497,0.4689,NA,NA,NA,NA,NA,NA,NA,0.32415680967923,0.0087912290478573,NA,NA,NA,NA,NA,50.6852446119225,TRUE,TRUE,994.99372654438,21.0378826507517,0.99499372654438,0.0210378826507517,500.099968426244,324.25695344281,0.500099968426244,0.32425695344281,2165.9478581918,228.24301654182,2.1659478581918,0.22824301654182,16.4299671912122,0.445585594730086,0.0164299671912122,0.000445585594730086,1011.42369373559,14.8793657954402,1.01142369373559,0.0148793657954402,0.983755603815717,0.0162443961842833,3.38730224666992,0.22172974370574,41.7862924732593,0.114083873463851,41.9003763467231,942.03387890408
"W5-1",2016-04-26 11:50:00,2016-05-01 10:44:00,7.6838445803014,17.6291371224501,9.9452925421487,32.4655416104866,5.53177724734016,1.28333333333333,16.75,3.75931894618834,91.4,145.866666666667,108.694506726457,118.9,24.7816970301852,5,12.8017687826134,"333.333333333333",7.80976161323569,928.580655813724,118.9,"Sampled",30.4,0.255677039529016,3.586989839,0.07715,0.8,2869.591871,1.252,1.0871,3.8519,0.469,3,-31.4333333333333,0.208166599946614,3,25,21.21320344,0.004,0.0200955447466337,0.00083910998964341,NA,NA,NA,0.866666666666664,NA,23.2145163953431,FALSE,FALSE,3330.80937709578,71.6399975960288,3.33080937709578,0.0716399975960288,1162.58298107878,1009.4600309351,1.16258298107878,1.0094600309351,3576.79982812888,435.504327576637,3.57679982812888,0.435504327576636,0.466508352994079,0.0194795326120731,0.000466508352994079,1.94795326120731e-05,3331.27588544878,50.6571299769894,3.33127588544878,0.0506571299769894,0.999859961057254,0.000140038942746176,7.59686308488592,0.631258101103926,45.117101850355,0.114550381816845,45.2316522321719,949.630741988965
"W5-2",2016-05-01 10:46:00,2016-05-03 12:00:00,17.6865096979601,8.92986333116901,-8.75664636679109,48.5316537008299,8.66866077869038,1.18333333333333,18.8666666666667,7.82892422192152,0.1,9.61666666666667,2.35666441136671,49.2333333333333,-9.01784891926972,6,28.1826797538634,"20.3333333333333",18.3314171260427,902.516769838838,49.2333333333333,"Sampled",9.2,0.186865267433988,0.813034214,0.01884,0.8,650.4273715,6.5588,0.4586,21.4337,0.825,6,-30.65,0.512835256198324,6,105,7.071067812,0.007,0.0223238151561823,0.000347966589244485,NA,NA,NA,1.65,NA,94.764260833078,FALSE,FALSE,733.777012587738,17.0034159437637,0.733777012587738,0.0170034159437637,5919.42699001897,413.894190648091,5.91942699001897,0.413894190648091,19344.2736896947,744.576335117041,19.3442736896947,0.744576335117041,2.11549984224988,0.0329747966243609,0.00211549984224988,3.29747966243609e-05,735.892512429988,12.0232533262393,0.735892512429988,0.0120232533262393,0.997125259726771,0.00287474027322862,23.4312962744225,0.443184846879088,45.8508788629428,0.116665881659095,45.9675447446019,973.062038263388
"W5-3x",2016-05-03 12:02:00,2016-05-03 13:08:00,8.88049066493521,12.9427814643907,4.06229079945549,12.9614710381104,8.88049066493521,0,0.0833333333333333,0.0200980392156863,9.63333333333333,10.1833333333333,9.90833333333333,1.1,4.08098037317519,NA,NA,NA,12.1184644687004,13.3303109155705,1.1,"Not Sampled",2.4,2.18181818181818,0.478264391,0.010495,NA,NA,3.3195,0.2302,11.57435,0.51435,NA,NA,NA,NA,NA,NA,NA,0.0275443635154505,0.000770642186299648,NA,NA,NA,NA,NA,56.0569675267217,TRUE,TRUE,6.37541303187598,0.139901613058912,0.00637541303187598,0.000139901613058912,44.2499670842363,3.06863757276433,0.0442499670842363,0.00306863757276433,154.289684145633,6.85644541942369,0.154289684145633,0.00685644541942369,1.54405349112983,0.0431998640121212,0.00154405349112983,4.31998640121212e-05,7.9194665230058,0.103534268691944,0.00791946652300581,0.000103534268691944,0.805030618332131,0.194969381667869,0.185927035637277,0.00385959559987603,45.8572542759747,0.118209935150225,45.9754642111249,973.247965299025
"W6-1",2016-05-03 13:10:00,2016-05-10 00:04:00,12.7962251715125,3.72054316224694,-9.07568200926556,15.2299207267172,3.45947090680989,0.1,70.3333333333333,32.1899419104991,10.2,87.65,48.925,154.9,-9.33675426470261,NA,NA,NA,5.89503388276492,913.140748440286,154.9,"Sampled",0.4,0.0025823111684958,0.143494568,0.00215,1.59,228.1563629,0.0802,0.0018,1.715,0.2037,NA,NA,NA,NA,19,1.414213562,9e-04,0.0327649118747187,0.00119331778335481,NA,NA,NA,NA,NA,17.3496742203654,FALSE,FALSE,131.030737220636,1.96325260914661,0.131030737220635,0.00196325260914662,73.2338880249109,1.64365334719251,0.0732338880249109,0.00164365334719251,1566.03638357509,186.006770457286,1.56603638357509,0.186006770457286,0.568460546885352,0.0207036747825746,0.000568460546885352,2.07036747825746e-05,131.599197767521,1.38830642321328,0.131599197767521,0.00138830642321328,0.995680364648654,0.00431963535134597,1.55645933576956,0.092616062301985,45.9882850131953,0.11877839569711,46.1070634088924,974.804424634795
"W6-2",2016-05-10 00:06:00,2016-05-12 06:32:00,3.71423452979755,17.3764507301097,13.6622162003121,91.2185771483047,3.04703475455025,70.35,70.6,2.96295389636883,87.6666666666667,107.233333333333,70.1572623419013,54.4333333333333,87.5043426185072,7,16.6609657017082,"234.333333333333",9.02299961404075,491.151945657618,54.4333333333333,"Sampled",24.4,0.448254745866503,0.041090858,0.00254,0.98,40.269,2.0414,0.2463,9.5367,0.3706,NA,NA,NA,NA,1647.5,3.535533906,0.0293,0.0324749504753211,0.00440262289710064,NA,NA,NA,NA,NA,809.172830470926,FALSE,FALSE,20.1818548554409,1.24752594197035,0.0201818548554409,0.00124752594197035,1002.63758186546,120.970724215471,1.00263758186546,0.120970724215471,4683.96876015301,182.020911060713,4.68396876015301,0.182020911060713,26.2778475955187,3.56248283114303,0.0262778475955187,0.00356248283114303,46.4597024509596,2.66904523173343,0.0464597024509596,0.00266904523173343,0.43439483661661,0.56560516338339,5.10429999503141,0.115109188506189,46.0084668680507,0.145056243292629,46.1535231113434,979.908724629826
"W6-3",2016-05-12 06:34:00,2016-05-12 09:10:00,17.3665605840878,365.097329706104,347.730769122016,921.403101980793,16.7500313550041,2.56666666666667,2.91666666666667,0.84535864978903,0.3,0.8,0.215822784810127,2.6,904.036541396705,8,52.0494662166218,"16.6666666666667",258.243890821744,671.434116136534,2.6,"Sampled",10.8,4.15384615384615,8.922689085,0.15285,0.8,7138.151268,36.5264,1.5423,81.4187,5.1281,3,-30.5666666666667,0.0577350269189634,3,9590.47619,0,0.191,0.301335742528458,0.0108440215895819,6,-29.9066666666667,1.61769795285358,1.73333333333333,2.39333333333333,6439.37290396112,FALSE,FALSE,5990.99785934807,102.628704651469,5.99099785934807,0.102628704651469,24525.0710996495,1035.55283731738,24.5250710996495,1.03555283731738,54667.2928714856,3443.18129095976,54.6672928714856,3.44318129095976,1940.41321543276,69.8286987939231,1.94041321543276,0.0698286987939231,7931.41107478083,87.7744216548618,7.93141107478083,0.0877744216548618,0.755350820032187,0.244649179967813,79.9903730495494,1.81940830653883,51.9994647273988,2.08546945872539,54.0849341861242,1059.89909767938
"W6-4",2016-05-12 09:12:00,2016-05-12 12:50:00,347.869063764883,125.436190695568,-222.432873069315,347.869063764883,123.868422961824,0,0.8,0.258636363636364,0,0,0,3.63333333333333,-224.000640803059,NA,NA,NA,179.150849138001,650.914751868072,3.63333333333333,"Sampled",2,0.55045871559633,0.021934117,0.00023,1.31,28.73369262,0.6693,0.0077,5.6005,0.1068,2,-30.25,0.0707106781186558,2,425,1.414213562,0.0185,0.0575734835220774,0.00256199638531658,NA,NA,NA,2.05,NA,276.638769543931,FALSE,FALSE,14.2772403245003,0.149710392929657,0.0142772403245003,0.000149710392929657,435.657243425301,5.01204358938416,0.435657243425301,0.00501204358938416,3645.44806783714,69.5176954995101,3.64544806783714,0.0695176954995101,15.9270576399053,0.708747527609977,0.0159270576399053,0.000708747527609977,30.2042979644055,0.512218830015261,0.0302042979644055,0.000512218830015261,0.472689030591785,0.527310969408215,3.61644158720863,0.034736818691508,52.0137419677233,2.10139651636529,54.1151384840886,1063.51553926658
"W6-5x",2016-05-12 12:52:00,2016-05-13 12:04:00,124.957952556454,32.7348788161411,-92.2230737403129,197.670266787168,32.7348788161411,0.166666666666667,5.56666666666667,1.53180296508847,0,0,0,23.2,-92.2230737403129,NA,NA,NA,114.993514005054,2667.84952491726,23.2,"Not Sampled",6,0.258620689655172,0.1053727715,0.00214,NA,NA,0.94355,0.05355,3.76315,0.15245,NA,NA,NA,NA,NA,NA,NA,0.0413100252049536,0.00194064326498849,NA,NA,NA,NA,NA,256.293849557254,TRUE,TRUE,281.11869838549,5.70919798332294,0.28111869838549,0.00570919798332294,2517.24941923568,142.863342059319,2.51724941923568,0.142863342059319,10039.5179396924,406.713660073636,10.0395179396924,0.406713660073636,10.5875053850848,0.49737493300126,0.0105875053850848,0.00049737493300126,291.706203770575,4.05230326090957,0.291706203770575,0.00405230326090957,0.963704901547409,0.0362950984525916,11.5066770877581,0.219159361094684,52.2948606661088,2.11198402175038,54.4068446878592,1075.02221635434
"W7-1",2016-05-13 12:06:00,2016-05-16 15:10:00,32.7727030529129,10.3202277472861,-22.4524753056268,136.754012744175,9.03606433868172,5.58333333333333,21.6166666666667,7.09641958869655,0,15.7,3.28604823198698,75.0666666666667,-23.7366387142312,9,39.0250354706871,"35.3333333333333",25.9767915649536,1949.99115347585,75.0666666666667,"Sampled",9.4,0.125222024866785,0.188811426,0.00405,0.925,174.6505688,1.2178,0.0994,1.9258,0.1981,NA,NA,NA,NA,121,38.18376618,0.0066,0.0250465668878298,0.00131929014466041,NA,NA,NA,NA,NA,235.948929570578,FALSE,FALSE,368.18061037516,7.89746417157719,0.36818061037516,0.00789746417157719,2374.69922670289,193.8291206555,2.37469922670289,0.1938291206555,3755.29296336379,386.293247503566,3.75529296336379,0.386293247503566,5.90971064660132,0.311285097425637,0.00590971064660132,0.000311285097425637,374.090321021761,5.58868673094246,0.374090321021761,0.00558868673094246,0.984202449744062,0.0157975502559382,6.02509511213504,0.223441408737013,52.663041276484,2.11789373239698,54.7809350088809,1081.04731146648
