"DayMoYr","Date","Jdays","VolTot.L","ConSmOut_ugL.blk","ConSmOut_ugL.sd","ConOxOut_ugL.blk","ConOxOut_ugL.sd","ConEsOut_ugL.blk","ConEsOut_ugL.sd","deltaOut.blk","deltaOut.sd","SubWeeks"
2016-01-31,"31/01/2016",123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-01,"01/02/2016",124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-02,"02/02/2016",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-03,"03/02/2016",126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-04,"04/02/2016",127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-05,"05/02/2016",128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-06,"06/02/2016",129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-07,"07/02/2016",130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-08,"08/02/2016",131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-09,"09/02/2016",132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-10,"10/02/2016",133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-11,"11/02/2016",134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-12,"12/02/2016",135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-13,"13/02/2016",136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-14,"14/02/2016",137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-15,"15/02/2016",138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-16,"16/02/2016",139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-17,"17/02/2016",140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-18,"18/02/2016",141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-19,"19/02/2016",142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-20,"20/02/2016",143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-21,"21/02/2016",144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-22,"22/02/2016",145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-23,"23/02/2016",146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-24,"24/02/2016",147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-25,"25/02/2016",148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-26,"26/02/2016",149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-27,"27/02/2016",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-28,"28/02/2016",151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-02-29,"29/02/2016",152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-01,"01/03/2016",153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-02,"02/03/2016",154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-03,"03/03/2016",155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-04,"04/03/2016",156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-05,"05/03/2016",157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-06,"06/03/2016",158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-07,"07/03/2016",159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-08,"08/03/2016",160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-09,"09/03/2016",161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-10,"10/03/2016",162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-11,"11/03/2016",163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-12,"12/03/2016",164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-13,"13/03/2016",165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-14,"14/03/2016",166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-15,"15/03/2016",167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-16,"16/03/2016",168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-17,"17/03/2016",169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-18,"18/03/2016",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-19,"19/03/2016",171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-03-20,"20/03/2016",172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
